Gene	sp_id	sp_evalue	sp_desc	go_all	Pfam
Mle_023430	Q9VE46	2e-34	High-affinity choline transporter 1	GO:0016021;GO:0005887;GO:0015171;GO:0033265;GO:0015220;GO:0005307;GO:0008292;GO:0003333;GO:0015871;GO:0019233;GO:0005215;GO:0006810;GO:0055085;GO:0016020	PF00474;PF00474;PF00474;PF00474
Mle_023433	Q7M6Z4	9e-115	Kinesin-like protein KIF27	GO:0005929;GO:0005737;GO:0070062;GO:0005871;GO:0005874;GO:0005524;GO:0016887;GO:0003777;GO:0042384;GO:0003351;GO:0021591;GO:0003777;GO:0005524;GO:0008017;GO:0007018;GO:0071973;GO:0009288	PF00225;PF00225;PF00225;PF00225;PF02050;PF02050
Mle_023439	Q8INF0	2e-86	Soluble guanylate cyclase 88E	GO:0008074;GO:0005886;GO:0070025;GO:0005525;GO:0004383;GO:0020037;GO:0046872;GO:0070026;GO:0019825;GO:0019826;GO:0046982;GO:0042803;GO:0006182;GO:0035556;GO:0001666;GO:0000302;GO:0007165;GO:0016849;GO:0009190;GO:0035556;GO:0020037;GO:0004383;GO:0006182	PF00211;PF00211;PF00211;PF07700;PF07701;PF07701
Mle_023440	Q53WJ1	4e-30	Lysine-specific demethylase JMJ703	GO:0005634;GO:0051213;GO:0008198;GO:0032453;GO:0045814;GO:0040010;GO:0006355;GO:0006351;GO:0003677	PF01388
Mle_023448	P28339	0	DNA polymerase delta catalytic subunit [Bos taurus]	GO:0043625;GO:0005634;GO:0008296;GO:0051539;GO:0003682;GO:0003684;GO:0003887;GO:0046872;GO:0000166;GO:0006287;GO:0034644;GO:0006260;GO:0045004;GO:0055089;GO:0006297;GO:0000166;GO:0003677;GO:0008408;GO:0000166;GO:0003677;GO:0003887;GO:0008408;GO:0006260	PF00136;PF00136;PF03104;PF03175;PF03175;PF03175;PF03175;PF03175
Mle_023450	Q62784	1e-48	Type I inositol 3,4-bisphosphate 4-phosphatase	GO:0005737;GO:0016316;GO:0034597;GO:0007165	NA
Mle_023453	Q16706	3e-154	Alpha-mannosidase 2	GO:0005801;GO:0070062;GO:0000139;GO:0016021;GO:0016020;GO:0030246;GO:0016799;GO:0004572;GO:0008270;GO:0001701;GO:0001889;GO:0048286;GO:0006013;GO:0007005;GO:0006491;GO:0050769;GO:0006517;GO:0007585;GO:0060042;GO:0007033;GO:0004559;GO:0005975;GO:0015923;GO:0006013;GO:0004553;GO:0008270	PF01074;PF01074;PF07748;PF07748;PF09261;PF09261
Mle_023455	Q8NHY3	3e-14	GAS2-like protein 2	GO:0005737;GO:0005856;GO:0051015;GO:0008093;GO:0008017;GO:0007050;GO:0001578;GO:0007026	NA
Mle_023457	Q7Z569	3e-109	BRCA1-associated protein	GO:0005737;GO:0005829;GO:0031965;GO:0000151;GO:0042802;GO:0016874;GO:0008139;GO:0000166;GO:0043130;GO:0061630;GO:0004842;GO:0008270;GO:0000165;GO:0009968;GO:0016567;GO:0007265;GO:0008270;GO:0008270;GO:0005515;GO:0008270;GO:0005515;GO:0008270	PF02148;PF12678;PF13639;PF13639;PF14634;PF14634
Mle_023462	P21914	5e-133	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	GO:0005875;GO:0005743;GO:0005749;GO:0051537;GO:0051538;GO:0051539;GO:0009055;GO:0046872;GO:0008177;GO:0048039;GO:0006121;GO:0006099;GO:0009055;GO:0051536	PF13085;PF13085
Mle_023464	Q91175	9e-07	Alpha-1A adrenergic receptor	GO:0016021;GO:0005886;GO:0004935;GO:0004930;GO:0007186;GO:0016021	PF00001;PF00001;PF00001
Mle_023466	Q3KR37	3e-36	GRAM domain-containing protein 1B	GO:0016021;GO:0016020	NA
Mle_023467	Q9H4B6	3e-30	Protein salvador homolog 1	GO:0005737;GO:0005829;GO:0005634;GO:0001942;GO:0035329;GO:0060575;GO:0030216;GO:0060487;GO:0060044;GO:0050680;GO:0043065;GO:0045600;GO:0051091;GO:0050821;GO:2000036;GO:0060412;GO:0005515	PF00397
Mle_023471	P30714	8e-85	Sodium/potassium-transporting ATPase subunit alpha-1	GO:0016021;GO:0005886;GO:0005524;GO:0046872;GO:0005391	NA
Mle_023472	Q8K4L0	0	ATP-dependent RNA helicase DDX54	GO:0016020;GO:0005730;GO:0005634;GO:0005524;GO:0004004;GO:0030331;GO:0044822;GO:0005102;GO:0003714;GO:1903507;GO:0006355;GO:0016070;GO:0006396;GO:0010501;GO:0006351;GO:0003676;GO:0005524;GO:0003677;GO:0005524;GO:0016787;GO:0003723;GO:0004004;GO:0005524;GO:0005634	PF00270;PF00270;PF04851;PF04851;PF04851;PF08147;PF08147;PF08147;PF08147
Mle_023480	P46419	2e-04	Glutathione S-transferase	GO:0005737;GO:0004364;GO:0008152	NA
Mle_023481	O00625	6e-100	Pirin	GO:0005737;GO:0005634;GO:0046872;GO:0008127;GO:0003712;GO:0030224;GO:0006355;GO:0006366	NA
Mle_023483	Q8N1V2	0	Cilia- and flagella-associated protein 52	GO:0042995;GO:0005737;GO:0005515	PF00400
Mle_023484	Q20870	5e-06	DAZ protein 1 [Caenorhabditis elegans]	GO:0005737;GO:0000166;GO:0003723;GO:0007275;GO:0048477;GO:0006417;GO:0003676	PF00076
Mle_023485	Q9WVR3	9e-98	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	GO:0005856;GO:0005829;GO:0030175;GO:0030027;GO:0016020;GO:0004445;GO:0005547;GO:0007420;GO:0007155;GO:0001958;GO:0002376;GO:0032957;GO:0008156;GO:0046627;GO:0043569;GO:0043407;GO:0010977;GO:0010642;GO:0046856;GO:0042493;GO:0005216;GO:0006811;GO:0055085;GO:0016020	PF00520;PF00520;PF00520;PF00520
Mle_023486	Q8UWD7	4e-26	Growth/differentiation factor 8	GO:0005615;GO:0040007;GO:0033002;GO:2000818;GO:1902725;GO:1902723;GO:0008083;GO:0008083;GO:0040007	PF00019;PF00688;PF00688
Mle_023488	Q78P75	3e-57	Dynein light chain 2, cytoplasmic	GO:0005813;GO:0005737;GO:0030286;GO:0016020;GO:0005874;GO:0016459;GO:0005634;GO:0008092;GO:0003774;GO:0007017;GO:0008039;GO:0006810;GO:0007017;GO:0030286;GO:0003677;GO:0003700;GO:0016987;GO:0006352;GO:0006355	PF01221;PF01221;PF04542;PF04542;PF04542;PF04542;PF04542
Mle_023490	P0C605	0	cGMP-dependent protein kinase 1	GO:0005737;GO:0005794;GO:0005886;GO:0005524;GO:0005246;GO:0030553;GO:0004692;GO:0004672;GO:0004674;GO:0019934;GO:0016358;GO:0030900;GO:0098779;GO:0090331;GO:0045986;GO:0001764;GO:0006468;GO:0043087;GO:0060087;GO:0007165;GO:0004672;GO:0005524;GO:0006468;GO:0004672;GO:0006468	PF00069;PF00069;PF00069;PF07714;PF07714
Mle_023492	Q9VEN1	2e-66	Filamin-A	GO:0015629;GO:0045179;GO:0005829;GO:0035324;GO:0035183;GO:0035182;GO:0005886;GO:0003779;GO:0048149;GO:0007303;GO:0008340;GO:0007301;GO:0008302;GO:0030708;GO:0030725;GO:0007611;GO:0007067;GO:0008045;GO:0035204;GO:0008355;GO:0051495;GO:0008104;GO:0030431;GO:0005515	PF00307
Mle_023493	Q54IF0	2e-13	Probable 39S ribosomal protein L21, mitochondrial	GO:0005762;GO:0003723;GO:0003735;GO:0006412;GO:0005840	PF00829
Mle_023503	Q9EP78	3e-05	Carbohydrate sulfotransferase 7	GO:0000139;GO:0016021;GO:0008459;GO:0001517;GO:0005975;GO:0030206;GO:0006044;GO:0006790	NA
Mle_023505	Q28GW8	2e-116	Maternal embryonic leucine zipper kinase [Xenopus (Silurana) tropicalis]	GO:0005938;GO:0005737;GO:0005634;GO:0005886;GO:0005524;GO:0005509;GO:0008289;GO:0004715;GO:0004674;GO:0006915;GO:0007049;GO:0008283;GO:0030097;GO:0035556;GO:0061351;GO:0018108;GO:0043065;GO:0046777;GO:0004672;GO:0005524;GO:0006468;GO:0005524;GO:0016773;GO:0016020;GO:0004672;GO:0006468	PF00069;PF00069;PF00069;PF06293;PF06293;PF06293;PF07714;PF07714
Mle_023507	Q9FXI7	3e-17	Histone H3-like 2	GO:0048555;GO:0000786;GO:0005634;GO:0003677;GO:0009567;GO:0048235;GO:0003677;GO:0071821	PF00125;PF15630
Mle_023508	A8E5V7	5e-38	N-alpha-acetyltransferase 60	GO:0000139;GO:0010485;GO:0004596;GO:0008283;GO:0007059;GO:0043967;GO:0017196;GO:0006334;GO:0008080;GO:0016747;GO:0008080;GO:0008080;GO:0008080	PF00583;PF08445;PF13302;PF13508;PF13673
Mle_023512	Q0IHI3	5e-67	Ciliogenesis-associated TTC17-interacting protein [Xenopus laevis]	GO:0015629;GO:0005737;GO:0005634;GO:0005886;GO:0030041;GO:0044782	NA
Mle_023514	Q9VL00	4e-57	Ubiquitin thioesterase otubain-like	GO:0005634;GO:0019784;GO:0004843;GO:0043130;GO:0071108	NA
Mle_023517	A4IGL7	5e-05	Peroxidasin	GO:0005576;GO:0020037;GO:0046872;GO:0004601;GO:0042744;GO:0006979;GO:0005515	PF13895
Mle_023518	P18101	9e-82	Ubiquitin-60S ribosomal protein L40	GO:0005829;GO:0022625;GO:0005875;GO:0005634;GO:0005840;GO:0031386;GO:0003735;GO:0006464;GO:0007219;GO:0016567;GO:0006412;GO:0006511;GO:0005515;GO:0003735;GO:0006412;GO:0005840;GO:0005515	PF00240;PF01020;PF01020;PF01020;PF14560
Mle_023519	Q9NRY4	1e-57	Rho GTPase-activating protein 35	GO:0015629;GO:0005737;GO:0005829;GO:0005634;GO:0003677;GO:0005525;GO:0005096;GO:0000977;GO:0003714;GO:0001227;GO:0043010;GO:0030900;GO:0035024;GO:0000122;GO:0045892;GO:0043116;GO:0001843;GO:0010976;GO:0008360;GO:0051056;GO:0007264;GO:0006351;GO:0005525;GO:0007264;GO:0007165	PF00071;PF00071;PF00620
Mle_023521	A1L1W4	3e-17	Retinol dehydrogenase 10-A [Danio rerio]	GO:0005789;GO:0016021;GO:0052650;GO:0002138;GO:0003854;GO:0016616;GO:0006694;GO:0055114;GO:0016616;GO:0051287;GO:0046168;GO:0055114;GO:0003824;GO:0050662;GO:0003857;GO:0016491;GO:0006631;GO:0055114;GO:0016491;GO:0055114;GO:0004616;GO:0055114	PF01073;PF01073;PF01073;PF01073;PF01210;PF01210;PF01210;PF01210;PF01370;PF01370;PF02737;PF02737;PF02737;PF02737;PF03435;PF03435;PF03446;PF03446
Mle_023524	Q9SHU5	2e-27	Probable ADP-ribosylation factor At2g15310	GO:0005794;GO:0005525;GO:0015031;GO:0007264;GO:0016192;GO:0005525;GO:0005525;GO:0007264;GO:0003924;GO:0004871;GO:0019001;GO:0031683;GO:0007186;GO:0005525;GO:0005525;GO:0005525;GO:0007264	PF00025;PF00071;PF00071;PF00503;PF00503;PF00503;PF00503;PF00503;PF01926;PF04670;PF08477;PF08477
Mle_023526	Q6DEL2	0	Cleft lip and palate transmembrane protein 1 homolog	GO:0016021;GO:0030154;GO:0007275;GO:0016021	PF05602
Mle_023532	P31399	4e-21	ATP synthase subunit d, mitochondrial	GO:0005753;GO:0000276;GO:0000274;GO:0005739;GO:0015078;GO:0046034;GO:0015986	NA
Mle_023533	Q91V57	2e-92	N-chimaerin	GO:0005737;GO:0046875;GO:0005096;GO:0046872;GO:0048013;GO:0035556;GO:0008045;GO:0050770;GO:0043087;GO:0051056;GO:0035556;GO:0007165;GO:0003677;GO:0003899;GO:0006351	PF00130;PF00620;PF03118;PF03118;PF03118
Mle_023534	B6TZ45	3e-07	Cell number regulator 1	GO:0016021;GO:0008285	NA
Mle_023536	O96015	2e-36	Dynein light chain 4, axonemal	GO:0005929;GO:0005737;GO:0030286;GO:0005874;GO:0005886;GO:0003777;GO:0007018;GO:0007017;GO:0030286	PF01221;PF01221
Mle_023538	P62744	2e-84	AP-2 complex subunit sigma	GO:0030121;GO:0030122;GO:0005794;GO:0005886;GO:0008565;GO:0006897;GO:0006886	NA
Mle_023540	Q9NPA1	6e-05	Calcium-activated potassium channel subunit beta-3	GO:0005887;GO:0005886;GO:0008076;GO:0015269;GO:0015459;GO:0001508;GO:0005513;GO:0019228;GO:0006813;GO:0007268;GO:0015269;GO:0006813;GO:0016020	PF03185;PF03185;PF03185
Mle_023547	Q7T0X5	2e-21	Charged multivesicular body protein 7	GO:0000815;GO:0005635;GO:0008565;GO:0010458;GO:0045324;GO:0031468;GO:0007034	PF03357
Mle_023549	Q9YHZ6	1e-17	Cell division control protein 45 homolog [Xenopus laevis]	GO:0005654;GO:0003682;GO:0007049;GO:0006270;GO:0006270	PF02724
Mle_023551	Q9NUQ8	0	ATP-binding cassette sub-family F member 3	GO:0016020;GO:0005524;GO:0016887;GO:0051607;GO:0005524;GO:0005524;GO:0016887;GO:0005524;GO:0005525;GO:0003723;GO:0003724;GO:0043531;GO:0005524;GO:0005525;GO:0003924;GO:0005525;GO:0005525;GO:0006777;GO:0005525;GO:0007264;GO:0005524	PF00004;PF00005;PF00005;PF00006;PF00735;PF00910;PF00910;PF00931;PF01637;PF01926;PF03193;PF03193;PF03205;PF03205;PF08477;PF08477;PF13304
Mle_023553	Q90511	3e-89	Translation initiation factor eIF-2B subunit beta	GO:0005737;GO:0005851;GO:0005524;GO:0005525;GO:0005085;GO:0003743;GO:0051716;GO:0007417;GO:0042552;GO:0014003;GO:0006446;GO:0006413;GO:0044237;GO:0033739;GO:0008616	PF01008;PF14489;PF14489
Mle_023555	P47865	7e-08	Aquaporin-1	GO:0045177;GO:0016324;GO:0030424;GO:0009925;GO:0016323;GO:0005903;GO:0031526;GO:0032127;GO:0070062;GO:0005887;GO:0031965;GO:0005634;GO:0005886;GO:0042383;GO:0020003;GO:0008519;GO:0035379;GO:0015254;GO:0015168;GO:0005223;GO:0030184;GO:0005267;GO:0022857;GO:0015250;GO:0005372;GO:0072488;GO:0015696;GO:0048593;GO:0035378;GO:0015670;GO:0006884;GO:0019725;GO:0071474;GO:0071320;GO:0071280;GO:0071549;GO:0070301;GO:0071456;GO:0071241;GO:0071260;GO:0071288;GO:0071300;GO:0071472;GO:0033554;GO:0034644;GO:0009992;GO:0006182;GO:0051458;GO:0030950;GO:0003094;GO:0015793;GO:0021670;GO:0044241;GO:0085018;GO:0072220;GO:0072239;GO:0072232;GO:0072230;GO:0043066;GO:0030185;GO:0045766;GO:0030335;GO:0048146;GO:0046878;GO:0070295;GO:0003097;GO:0042493;GO:0033363;GO:0019233;GO:0035377;GO:0006833;GO:0042060;GO:0005215;GO:0006810;GO:0016020	PF00230;PF00230;PF00230
Mle_023558	Q9WVM6	2e-61	Tolloid-like protein 2	GO:0005576;GO:0005509;GO:0004222;GO:0008270;GO:0030154;GO:0007275;GO:0048632;GO:0005515;GO:0004222;GO:0006508;GO:0008121;GO:0055114;GO:0005509	PF00008;PF01400;PF01400;PF02921;PF02921;PF07645
Mle_023559	Q5ZM98	0	Stress-70 protein, mitochondrial	GO:0005739;GO:0005524;GO:0030097;GO:0006457;GO:0016773;GO:0005975;GO:0000902	PF02782;PF02782;PF06723
Mle_023561	Q8VDL9	6e-16	Zinc finger protein GLIS2	GO:0005737;GO:0031513;GO:0016607;GO:0005634;GO:0005667;GO:0003677;GO:0046872;GO:0000977;GO:0003700;GO:0044212;GO:0001077;GO:0061005;GO:0001822;GO:0043433;GO:0045879;GO:0000122;GO:0045892;GO:0007399;GO:1900182;GO:0045944;GO:0045893;GO:0006357;GO:0060994;GO:0046872;GO:0046872;GO:0046872	PF00096;PF13465;PF13912
Mle_023564	O18783	7e-10	Plasminogen	GO:0005576;GO:0004252;GO:0007596;GO:0042730;GO:0048771;GO:0004930;GO:0007186	PF07562;PF07562
Mle_023565	Q5RHI5	1e-109	Denticleless protein homolog [Danio rerio]	GO:0005813;GO:0005694;GO:0031464;GO:0031465;GO:0005737;GO:0005634;GO:0006974;GO:0006260;GO:0031572;GO:0007095;GO:0006513;GO:0000209;GO:0051726;GO:0009411;GO:0019985;GO:0006511;GO:0005515	PF00400
Mle_023566	Q6PML9	3e-82	Zinc transporter 9	GO:0005856;GO:0016021;GO:0005634;GO:0008324;GO:0003682;GO:0030374;GO:0003700;GO:0006289;GO:0045944;GO:0006351;GO:0006829;GO:0008324;GO:0006812;GO:0055085;GO:0016021	PF01545;PF01545;PF01545;PF01545
Mle_023567	Q5XI96	5e-25	Ribonuclease H2 subunit B	GO:0005634;GO:0032299;GO:0004523;GO:0001701;GO:0010629;GO:0048146;GO:2000001;GO:0010389;GO:0009259;GO:0006401;GO:0005634	PF09468
Mle_023574	Q15477	0	Helicase SKI2W	GO:0005654;GO:0005634;GO:0055087;GO:0005524;GO:0004004;GO:0003723;GO:0006401;GO:0003676;GO:0005524;GO:0003677;GO:0005524;GO:0016787	PF00270;PF00270;PF04851;PF04851;PF04851
Mle_023575	Q13360	3e-34	Zinc finger protein 177	GO:0072562;GO:0005634;GO:0003677;GO:0046872;GO:0000122;GO:0006351;GO:0046872;GO:0046872;GO:0046872	PF00096;PF13465;PF13912
Mle_023579	Q8HXY0	1e-121	Electron transfer flavoprotein subunit alpha, mitochondrial	GO:0005759;GO:0009055;GO:0050660;GO:0033539	NA
Mle_023584	P07154	2e-17	Cathepsin L1	GO:0005737;GO:0031410;GO:0009897;GO:0070062;GO:0005615;GO:0005764;GO:0005902;GO:0043005;GO:0005730;GO:0043204;GO:0005773;GO:0004177;GO:0016807;GO:0004197;GO:0030984;GO:0042277;GO:0032403;GO:0048102;GO:0007154;GO:0009267;GO:0046697;GO:0031069;GO:0008584;GO:0010259;GO:0010839;GO:0021675;GO:0016540;GO:0006508;GO:0051603;GO:2000249;GO:0051384;GO:0009749;GO:0034698;GO:0014070;GO:0060008;GO:0007283;GO:0008234;GO:0006508	PF00112;PF00112
Mle_023586	Q3TPE9	6e-07	Ankyrin repeat and MYND domain-containing protein 2	GO:0005929;GO:0019899;GO:0046872;GO:0005515;GO:0005515	PF00023;PF13606
Mle_023588	O93610	1e-121	DNA polymerase delta subunit 2	GO:0005634;GO:0003677;GO:0003887;GO:0006260;GO:0003677;GO:0003887;GO:0006260	PF04042;PF04042;PF04042
Mle_023590	O35600	0	Retinal-specific ATP-binding cassette transporter	GO:0005887;GO:0043231;GO:0001750;GO:0005524;GO:0042626;GO:0005548;GO:0004012;GO:0006649;GO:0045494;GO:0050896;GO:0007601;GO:0005524;GO:0016887;GO:0005524	PF00005;PF00005;PF13304
Mle_023591	Q8WWM7	1e-25	Ataxin-2-like protein	GO:0005737;GO:0010494;GO:0016020;GO:0016607;GO:0044822;GO:0010603;GO:0034063	NA
Mle_023592	P9WK86	2e-14	Carboxylesterase NlhH	GO:0052689;GO:0008152;GO:0008236;GO:0006508;GO:0016787;GO:0008152	PF00326;PF00326;PF07859;PF07859
Mle_023598	Q99PD6	2e-33	Transforming growth factor beta-1-induced transcript 1 protein	GO:0005737;GO:0005856;GO:0031012;GO:0005925;GO:0016363;GO:0070411;GO:0003713;GO:0008270;GO:0045165;GO:0030855;GO:0016331;GO:0045599;GO:0030512;GO:0010718;GO:0045893;GO:0030511;GO:0009408;GO:0030579;GO:0016055;GO:0008270	PF00412
Mle_023599	Q15418	0	Ribosomal protein S6 kinase alpha-1	GO:0005737;GO:0005829;GO:0005654;GO:0005634;GO:0005524;GO:0043027;GO:0016301;GO:0000287;GO:0004674;GO:0004712;GO:0007049;GO:0072574;GO:0035556;GO:0043066;GO:0043154;GO:0045597;GO:0030307;GO:2000491;GO:0045944;GO:0043620;GO:0043555;GO:0007165;GO:0004672;GO:0005524;GO:0006468;GO:0004674;GO:0005524;GO:0006468;GO:0005524;GO:0016773;GO:0016020;GO:0004672;GO:0006468	PF00069;PF00069;PF00069;PF00433;PF00433;PF00433;PF06293;PF06293;PF06293;PF07714;PF07714
Mle_023602	Q9NZB2	8e-38	Constitutive coactivator of PPAR-gamma-like protein 1	GO:0005737;GO:0016020;GO:0005634;GO:0005886;GO:0044822;GO:0004518	PF00867
Mle_023606	Q96PQ7	2e-155	Kelch-like protein 5	GO:0031463;GO:0005737;GO:0005856;GO:0016567;GO:0005515;GO:0005515;GO:0005515	PF00651;PF01344;PF07646
Mle_023609	Q8N3Y7	2e-12	Epidermal retinol dehydrogenase 2	GO:0005789;GO:0016021;GO:0004745;GO:0050908;GO:0043616;GO:0042574;GO:0042572;GO:0016491;GO:0055114	PF00056;PF00056
Mle_023610	Q2TBW2	4e-61	5-demethoxyubiquinone hydroxylase, mitochondrial	GO:0031314;GO:0005634;GO:0003682;GO:0046872;GO:0016709;GO:0000122;GO:0045944;GO:2000377;GO:0006744;GO:0006744;GO:0055114	PF03232;PF03232
Mle_023612	Q6DKJ4	5e-83	Nucleoredoxin	GO:0005829;GO:0005634;GO:0047134;GO:0004791;GO:0072358;GO:0030154;GO:0031397;GO:0030178;GO:0016055;GO:0045454;GO:0009055;GO:0015035;GO:0045454;GO:0016209;GO:0016491;GO:0055114;GO:0016491	PF00085;PF00462;PF00462;PF00462;PF00578;PF00578;PF00578;PF08534
Mle_023613	O43151	4e-05	Methylcytosine dioxygenase TET3	GO:0005737;GO:0001939;GO:0001940;GO:0003677;GO:0046872;GO:0070579;GO:0080111;GO:0044727;GO:0080182;GO:0045944;GO:0006493;GO:0055085;GO:0016021	PF07690;PF07690
Mle_023616	Q13332	4e-173	Receptor-type tyrosine-protein phosphatase S	GO:0070062;GO:0005887;GO:0005886;GO:0005001;GO:0007155;GO:0021549;GO:0021987;GO:0022038;GO:0090557;GO:0021766;GO:0021510;GO:0007268;GO:0005515;GO:0004725;GO:0006470;GO:0008138;GO:0006470;GO:0016020;GO:0005515	PF00041;PF00102;PF00102;PF00782;PF00782;PF02480;PF13895
Mle_023618	Q9NY37	1e-26	Acid-sensing ion channel 5	GO:0016021;GO:0005886;GO:0044736;GO:0015252;GO:0034220;GO:0005272;GO:0006814;GO:0016020	PF00858;PF00858;PF00858
Mle_023620	Q9LFU1	1e-112	Asparagine synthetase [glutamine-hydrolyzing] 3	GO:0005829;GO:0004066;GO:0005524;GO:0042803;GO:0006541;GO:0070981;GO:0004066;GO:0006529	PF00733;PF00733
Mle_023626	P15385	7e-22	Potassium voltage-gated channel subfamily A member 4	GO:0030424;GO:0016021;GO:0005887;GO:0008076;GO:0005216;GO:0005267;GO:0030955;GO:0005249;GO:0071805;GO:0006813;GO:0051260;GO:0051260	PF02214
Mle_023627	Q8R189	5e-23	Monocyte to macrophage differentiation factor 2	GO:0000139;GO:0016021;GO:0048471;GO:0004672;GO:0019835;GO:0045666;GO:0045860;GO:0046579;GO:0006468;GO:0032880;GO:0016021	PF03006
Mle_023630	P56677	4e-09	Suppressor of tumorigenicity 14 protein homolog	GO:0016323;GO:0070062;GO:0005576;GO:0005615;GO:0019897;GO:0005887;GO:0004252;GO:0008236;GO:0016477;GO:0060672;GO:0030216;GO:0001843;GO:0006508;GO:0005515	PF00057
Mle_023638	Q7SYJ9	1e-14	Sperm-associated antigen 7 homolog	GO:0003676;GO:0003676	PF01424
Mle_023639	Q9D9N8	1e-17	Protease-associated domain-containing protein 1	GO:0070062;GO:0005576	NA
Mle_023642	A1CHC5	7e-05	Respiratory supercomplex factor 1, mitochondrial	GO:0016021;GO:0031966	NA
Mle_023645	Q3UG98	1e-44	N-acetyltransferase 9	GO:0043234;GO:0008080;GO:0006474;GO:0008080;GO:0016747;GO:0008080;GO:0008080	PF00583;PF08445;PF13302;PF13508
Mle_023648	Q4R6E3	0	Inositol-3-phosphate synthase 1	GO:0005737;GO:0004512;GO:0006021;GO:0008654;GO:0004512;GO:0006021;GO:0008654	PF07994;PF07994;PF07994
Mle_023649	Q8BMF3	0	NADP-dependent malic enzyme, mitochondrial	GO:0005759;GO:0005739;GO:0004471;GO:0004473;GO:0004470;GO:0046872;GO:0051287;GO:0008948;GO:0006108;GO:0055114;GO:0006090;GO:0004471;GO:0055114;GO:0004471;GO:0051287;GO:0055114	PF00390;PF00390;PF03949;PF03949;PF03949
Mle_023653	Q02111	0	Protein kinase C theta type	GO:0005737;GO:0001772;GO:0031594;GO:0005634;GO:0005886;GO:0042383;GO:0005524;GO:0046872;GO:0004697;GO:0004674;GO:0007568;GO:0060326;GO:0002376;GO:0006954;GO:0035556;GO:0006509;GO:0046627;GO:0070233;GO:0030182;GO:0018105;GO:0051491;GO:0032740;GO:0045086;GO:0032753;GO:0042346;GO:0051092;GO:0050714;GO:0051496;GO:0050870;GO:0042102;GO:2000318;GO:2000570;GO:0051973;GO:1904355;GO:0032212;GO:0006468;GO:0010389;GO:0090330;GO:0006355;GO:0019229;GO:0045730;GO:0009749;GO:0009408;GO:0001666;GO:0032868;GO:0014070;GO:0042246;GO:0004672;GO:0005524;GO:0006468;GO:0035556;GO:0004674;GO:0005524;GO:0006468;GO:0005524;GO:0016773;GO:0016020;GO:0004672;GO:0006468	PF00069;PF00069;PF00069;PF00130;PF00433;PF00433;PF00433;PF06293;PF06293;PF06293;PF07714;PF07714
Mle_023656	Q9HD40	4e-18	O-phosphoseryl-tRNA(Sec) selenium transferase	GO:0005737;GO:0005829;GO:0005634;GO:0098621;GO:0000049;GO:0001514;GO:0016259;GO:0097056	NA
Mle_023658	Q93126	1e-07	Probable G-protein coupled receptor No9 [Amphibalanus amphitrite]	GO:0016021;GO:0005886;GO:0004935;GO:0004930;GO:0007186;GO:0016021	PF00001;PF00001;PF00001
Mle_023664	P28037	4e-70	Cytosolic 10-formyltetrahydrofolate dehydrogenase	GO:0005829;GO:0043234;GO:0047105;GO:0033721;GO:0004030;GO:0019145;GO:0016155;GO:0016742;GO:0032403;GO:0009258;GO:0006730;GO:0046654;GO:0016742;GO:0009058	PF00551;PF00551
Mle_023666	Q8NCR3	3e-49	Uncharacterized protein C11orf65	NA	NA
Mle_023667	Q9UL62	6e-04	Short transient receptor potential channel 5	GO:0034704;GO:0005887;GO:0005886;GO:0005262;GO:0070679;GO:0015279;GO:0070588;GO:0006816;GO:0006828;GO:0007399;GO:0051480;GO:0005515;GO:0005515	PF00023;PF13606
Mle_023670	P23818	5e-30	Glutamate receptor 1	GO:0032281;GO:0044308;GO:0030054;GO:0009986;GO:0030425;GO:0032590;GO:0043197;GO:0032591;GO:0005783;GO:0005789;GO:0008328;GO:0016020;GO:0043005;GO:0044309;GO:0043025;GO:0005886;GO:0014069;GO:0045211;GO:0055037;GO:0045202;GO:0008021;GO:0004971;GO:0005234;GO:0035235;GO:0060292;GO:0007616;GO:0031623;GO:0007268;GO:0004970;GO:0016020;GO:0004970;GO:0005234;GO:0016020	PF00060;PF00060;PF10613;PF10613;PF10613
Mle_023671	Q13206	8e-168	Probable ATP-dependent RNA helicase DDX10	GO:0005524;GO:0004004;GO:0044822;GO:0003724;GO:0010501;GO:0003676;GO:0005524	PF00270;PF00270
Mle_023677	Q8I7P9	3e-59	Retrovirus-related Pol polyprotein from transposon opus	GO:0005634;GO:0004519;GO:0003676;GO:0008233;GO:0003964;GO:0015074;GO:0006313;GO:0003676;GO:0008270;GO:0015074	PF00098;PF00098;PF00665
Mle_023682	B9EJR8	2e-142	Dynein assembly factor 5, axonemal	GO:0005737;GO:0045505;GO:0003341;GO:0036159;GO:0036158;GO:0005515;GO:0016491;GO:0055114	PF02985;PF03171;PF03171
Mle_023683	Q9NBX4	2e-27	Probable RNA-directed DNA polymerase from transposon X-element	GO:0003964;GO:0006313	NA
Mle_023685	Q9BTE6	8e-74	Alanyl-tRNA editing protein Aarsd1	GO:0005737;GO:0005634;GO:0004813;GO:0005524;GO:0046872;GO:0002196;GO:0000049;GO:0006419;GO:0006450;GO:0000166;GO:0004813;GO:0005524;GO:0006419;GO:0003676;GO:0005524;GO:0016876;GO:0043039	PF01411;PF01411;PF01411;PF01411;PF02272;PF07973;PF07973;PF07973
